,word,logDate,frequencySum,wordVar,frequencyGap,frequencyGap2,frequencyLevel,repeatLetters,location,difficultyLevel
53,spell,0.902492111,0.641538615,0.552733593,0.683011968,0.692986619,0.333333333,0.444444444,0.163302921,1
54,begin,0.900555861,0.36993614,0.526389849,0.748005319,0.618487235,0,0,0.544810275,1
55,stale,0.898615781,0.835761325,0.361833798,0.470910904,0.571889532,0.5,0,0.240988599,-1
56,dream,0.896671855,0.59913191,0.528650312,0.689993351,0.720129069,0,0,0.200726111,-1
57,photo,0.894724068,0.335362203,0.196459001,0.356382979,0.423744899,0,0.444444444,0.467952215,-1
58,aloud,0.892772405,0.475653562,0.267784428,0.498670213,0.458289836,0.166666667,0,0.29206223,-1
59,inept,0.89081685,0.471911794,0.375684942,0.682845745,0.457056088,0.666666667,0,0.078241519,-1
60,piney,0.888857388,0.410995809,0.446222751,0.682845745,0.540381513,1,0,0.973477981,-1
61,aptly,0.886894004,0.375174616,0.314942905,0.57081117,0.439688716,0.666666667,0,0.442443619,1
62,waltz,0.88492668,0.244462183,0.596408643,0.834275266,0.688336339,1,0,0.502811284,-1
63,libel,0.882955403,0.477050489,0.40531937,0.748005319,0.454493689,0.833333333,0.444444444,0.413081806,-1
64,sneak,0.880980155,0.725553782,0.695127727,0.768450798,0.781531745,0.166666667,0,0.152753958,1
65,carry,0.87900092,0.457792856,0.337642636,0.569481383,0.513523773,0,0.444444444,0.859135659,1
66,flout,0.877017683,0.274545999,0.181722775,0.463430851,0.336908038,1,0,0.486268619,1
67,foggy,0.875030428,0.084114947,0.205016388,0.463430851,0.296194363,0.666666667,0.444444444,0.985154785,-1
68,fault,0.873039137,0.351875873,0.384943907,0.721077128,0.484008731,0.666666667,0,0.669416461,1
69,mummy,0.871043795,0.064158851,0,0,0,0.666666667,1,0.853992553,-1
70,spiel,0.869044385,0.660846138,0.531318161,0.683011968,0.692986619,1,0,0.337634391,-1
71,grove,0.86704089,0.41743165,0.695728302,0.903091755,0.77156686,0.333333333,0,0.449605568,-1
72,denim,0.865033294,0.42775893,0.42058647,0.689993351,0.508493879,0.5,0,0.374771863,1
73,quirk,0.86302158,0.14049092,0.334090736,0.583444149,0.537629306,0.666666667,0,0.776613999,1
74,exist,0.86100573,0.570694472,0.875557525,0.970744681,0.864477555,0,0,0.143511459,1
75,stein,0.858985729,0.703602075,0.415873112,0.527925532,0.611654171,1,0,0.164544441,-1
76,spade,0.856961558,0.726302135,0.663206068,0.683011968,0.78010819,0.666666667,0,0.244355523,-1
77,catch,0.854933201,0.292805827,0.379648238,0.614029255,0.461611464,0.166666667,0.444444444,0.541200462,-1
78,floor,0.85290064,0.413689882,0.238396204,0.463430851,0.356553099,1,0.444444444,0.446306059,1
79,equal,0.850863858,0.469816404,0.874822264,0.999833777,0.891525102,0.666666667,0,0.107248375,1
80,ionic,0.848822837,0.384454201,0.099419681,0.311835106,0.24523109,1,0.444444444,0.350768316,-1
81,valid,0.846777559,0.351077629,0.456960855,0.791057181,0.566195312,0.166666667,0,0.616456544,1
82,enjoy,0.844728007,0.358710836,0.715746118,0.970079787,0.768909557,0,0,0.328265531,-1
83,howdy,0.842674163,0.126521652,0.195511132,0.47606383,0.328366708,1,0,0.800291895,-1
84,vigor,0.840616008,0.272550389,0.338491775,0.533410904,0.533833159,0.5,0,0.426754913,-1
85,dandy,0.838553525,0.333915386,0.310436506,0.561668883,0.358735883,0.833333333,0.444444444,0.782533177,-1
86,sloth,0.836486695,0.513819597,0.401573226,0.726230053,0.513808484,1,0,0.356694685,-1
87,marxh,0.834415501,0.246507683,0.61632625,0.858543883,0.708455917,1,0,0.434778509,-1
88,bough,0.832339922,0.137248054,0.171692431,0.378324468,0.289076587,0.833333333,0,0.757364275,-1
89,sting,0.830259942,0.453202954,0.419487365,0.745511968,0.492834773,0.333333333,0,0.221521875,-1
90,twine,0.828175541,0.423019357,0.504063634,0.845744681,0.550061687,0.833333333,0,0.376621621,1
91,leave,0.8260867,0.705946917,0.836617001,0.903091755,0.818639081,0.166666667,0.444444444,0.308846669,-1
92,scorn,0.823993401,0.549291559,0.374712862,0.681682181,0.52092626,0.833333333,0,0.19347074,-1
93,scald,0.821895624,0.562512473,0.541923018,0.681682181,0.715383885,1,0,0.319962299,1
94,usurp,0.819793351,0.430752345,0.445231129,0.683011968,0.536870077,0.833333333,0.444444444,0,1
95,soggy,0.817686561,0.360906007,0.601642555,0.745511968,0.681598178,0.666666667,0.444444444,0.788917483,-1
96,brisk,0.815575235,0.423218918,0.551459091,0.768450798,0.669545411,0.5,0,0.464296396,1
97,admit,0.813459354,0.41124526,0.294925375,0.577958777,0.444528803,0,0,0.175783447,1
98,grate,0.811338899,0.624526043,0.505657048,0.745345745,0.6718231,0.666666667,0,0.469377552,-1
99,glory,0.809213849,0.322091399,0.184189947,0.375664894,0.402866091,0.166666667,0,0.663237098,-1
100,saint,0.807084184,0.669976053,0.343638628,0.527925532,0.547689096,0.166666667,0,0.507192658,-1
101,recap,0.804949884,0.580023947,0.574815901,0.682845745,0.756477176,1,0,0.156317168,1
102,alike,0.802810929,0.601526641,0.533014575,0.768284574,0.677707127,0.666666667,0,0.372372505,1
103,trice,0.800667299,0.532428657,0.352032674,0.681515957,0.461611464,1,0,0.379920092,-1
104,stick,0.798518973,0.400169627,0.497701812,0.768450798,0.593717377,0,0,0.235112799,-1
105,chute,0.796365931,0.350578727,0.487101411,0.72606383,0.52557654,0.5,0,0.60566822,-1
106,parer,0.794208152,0.686290162,0.404030441,0.682845745,0.554332353,1,0.444444444,0.65203212,-1
107,doubt,0.792045615,0.254290561,0.132576758,0.378324468,0.286609092,0,0,0.511907831,-1
108,thyme,0.789878298,0.326232289,0.515575525,0.72606383,0.530416627,0.333333333,0,0.319920063,1
109,alpha,0.787706181,0.49381361,0.523869103,0.614029255,0.717946285,0.333333333,0.444444444,0.102275625,1
110,booze,0.785529243,0.417681102,0.758874911,0.94630984,0.797760273,0.5,0.444444444,0.763363434,-1
111,tibia,0.783347461,0.458940331,0.294447145,0.635970745,0.397741293,1,0.444444444,0.369728314,-1
112,lofty,0.781160815,0.252743963,0.198265692,0.463430851,0.378380943,0.5,0,0.717415836,-1
113,theme,0.778969283,0.555128717,0.730897552,0.72606383,0.849957293,0,0.444444444,0.339245163,-1
114,class,0.776772843,0.772550389,0.551488491,0.681682181,0.692322293,0,0.444444444,0.610972877,-1
115,leery,0.774571472,0.683446418,0.508247372,0.673703457,0.687672013,0.833333333,0.444444444,0.486540185,-1
116,taunt,0.772365148,0.439732588,0.225916877,0.489029255,0.302458005,1,0.444444444,0.50621441,-1
117,whoop,0.77015385,0.222809818,0.308106665,0.47606383,0.516750498,1,0.444444444,0.365080266,1
118,inter,0.767937555,0.57857713,0.261143736,0.527759309,0.373825567,1,0,0.167950802,1
119,gully,0.765716239,0.186739174,0.067462786,0.198304521,0.227009585,0.666666667,0.444444444,0.89033148,-1
120,charm,0.763489881,0.333266813,0.416609466,0.614029255,0.548258518,0.5,0,0.413553189,-1
121,fungi,0.761258457,0.137297945,0.129424459,0.350398936,0.31498529,1,0,0.694407661,-1
122,prize,0.759021945,0.389293554,0.677599408,0.94630984,0.733890102,0.666666667,0,0.552830916,-1
123,onset,0.75678032,0.73752744,0.389025277,0.527925532,0.611654171,0.333333333,0,0.146558769,1
124,chief,0.75453356,0.304031132,0.614224436,0.833111702,0.65606909,0,0,0.563937606,-1
125,gauze,0.752281641,0.399670724,0.924536152,0.94630984,0.943342507,0.833333333,0,0.618274053,-1
126,ruder,0.750024539,0.534474157,0.357867497,0.610704787,0.495586979,1,0.444444444,0.451100654,-1
127,irony,0.747762231,0.406705248,0.108427364,0.304022606,0.278637183,0.166666667,0,0.512461308,1
128,clown,0.745494691,0.229495111,0.202040455,0.47606383,0.390054095,0.333333333,0,0.382422768,-1
129,needy,0.743221897,0.577529435,0.65272199,0.673703457,0.774793585,0.333333333,0.444444444,0.459190312,1
130,woven,0.740943823,0.327180204,0.754400495,0.903091755,0.828888678,0.666666667,0,0.744439493,-1
131,merit,0.738660445,0.529884255,0.358279861,0.689993351,0.466451552,0.5,0,0.47996118,-1
132,waste,0.736371739,0.719417282,0.761045322,0.845910904,0.793204897,0.166666667,0,0.491837998,-1
133,treat,0.734077679,0.706944722,0.295913272,0.470744681,0.515042232,0.166666667,0.444444444,0.263614529,-1
134,shrug,0.73177824,0.374476152,0.54506793,0.745511968,0.64392142,0.5,0,0.311969907,1
135,twang,0.729473396,0.283875474,0.449679335,0.733710106,0.566385119,1,0,0.236876189,1
136,twice,0.727163124,0.376870884,0.559143663,0.845744681,0.637847585,0,0,0.334854024,1
137,gruel,0.724847396,0.454849331,0.450535141,0.745345745,0.572458954,1,0,0.501110981,1
138,poker,0.722526187,0.476651367,0.525783762,0.768284574,0.6589162,0.333333333,0,0.643550188,-1
139,khaki,0.720199471,0.263819597,0.473353976,0.65625,0.579197115,0.666666667,0.444444444,0.373935476,-1
140,hunky,0.717867222,0.07852724,0.035136459,0.151595745,0.148619152,1,0,0.935910719,-1
141,label,0.715529413,0.588305727,0.528831706,0.748005319,0.666128879,0.166666667,0.444444444,0.419662187,-1
142,glean,0.713186018,0.56819996,0.552383282,0.745345745,0.704375059,0.5,0,0.316400093,1
143,cling,0.71083701,0.225703452,0.092342066,0.262632979,0.268197779,0.166666667,0,0.452166396,-1
144,patty,0.708482362,0.371382957,0.314984424,0.57081117,0.432476037,0.666666667,0.444444444,0.839237083,-1
145,unfit,0.706122047,0.219716623,0.119989476,0.350398936,0.265160862,0.666666667,0,0.134047737,1
146,smear,0.703756038,0.809169826,0.499849353,0.690159574,0.62247319,0.5,0,0.131818927,-1
147,alien,0.701384307,0.673717821,0.337818307,0.527759309,0.540381513,0.166666667,0,0.350344592,-1
148,buggy,0.699006826,0.013520255,0.012246035,0.058011968,0.064724305,0.666666667,0.444444444,1,-1
149,rhyme,0.696623568,0.369237677,0.541614425,0.72606383,0.612223593,0.666666667,0,0.257261165,1
150,youth,0.694234504,0.241967671,0.136743127,0.356382979,0.310050299,0,0,0.460355181,-1
151,coyly,0.691839606,0.237327879,0.137970847,0.311835106,0.291828794,1,0.444444444,0.836155266,-1
152,quart,0.689438845,0.341049691,0.573974236,0.887799202,0.653791402,1,0,0.760507435,-1
153,cramp,0.687032193,0.346238276,0.39532985,0.577958777,0.523583563,0.666666667,0,0.366094252,1
154,bluff,0.68461962,0.025543804,0.112270289,0.286070479,0.286514188,0.833333333,0.444444444,0.464421537,-1
155,upset,0.682201097,0.594841349,0.63122115,0.683011968,0.774603777,0.166666667,0,0.155524976,1
156,stomp,0.679776596,0.457194173,0.467698747,0.690159574,0.614311474,0.333333333,0,0.134540727,1
157,motto,0.677346086,0.409848334,0.122604061,0.3203125,0.282053715,0.5,0.444444444,0.50082506,-1
158,cinch,0.674909537,0.164438236,0.079697063,0.243351064,0.217424314,1,0.444444444,0.62548269,-1
159,elope,0.67246692,0.694721612,0.511579588,0.682845745,0.692891715,1,0.444444444,0.202709223,-1
160,power,0.670018204,0.453402514,0.596300402,0.845744681,0.703141312,0.333333333,0,0.695680356,-1
161,midge,0.667563358,0.362452604,0.512557826,0.745345745,0.585365854,1,0,0.496420579,-1
162,tryst,0.665102352,0.511724207,0.358529902,0.673869681,0.457245895,1,0.444444444,0.178071439,1
163,aphid,0.662635155,0.33675913,0.369299343,0.614029255,0.506311094,1,0,0.178789078,1
164,trite,0.660161736,0.595689483,0.238240958,0.470744681,0.341273607,1,0.444444444,0.425330094,-1
165,angry,0.657682062,0.378517262,0.37539702,0.63331117,0.549966784,0,0,0.4298759,1
166,flock,0.655196103,0.16109559,0.230634679,0.463430851,0.432381133,0.5,0,0.482702712,1
167,wacky,0.652703827,0.169926162,0.480386361,0.733710106,0.463604441,0.666666667,0,0.865377328,-1
168,roomy,0.6502052,0.391937737,0.195452592,0.3203125,0.3979311,0.666666667,0.444444444,0.701092778,-1
169,wedge,0.647700192,0.460586709,0.937328902,0.845744681,0.949890861,0.5,0.444444444,0.446573667,-1
170,liver,0.645188768,0.469716623,0.555922096,0.903091755,0.580905381,0.166666667,0,0.517457927,-1
171,bland,0.642670897,0.35741369,0.330562103,0.635970745,0.440922464,0.5,0,0.634083094,-1
172,night,0.640146545,0.208541209,0.103119143,0.262632979,0.286419284,0,0,0.294386313,1
173,madam,0.637615678,0.45669527,0.550971797,0.577958777,0.701433045,0.833333333,0.444444444,0.363299105,-1
174,berth,0.635078263,0.412741968,0.52132021,0.748005319,0.645344975,0.5,0,0.633523784,1
175,stead,0.632534266,0.789962083,0.486752218,0.610871011,0.659011104,1,0,0.230255096,-1
176,voice,0.629983652,0.416683297,0.644721698,0.903091755,0.735123849,0.166666667,0,0.606099094,1
177,agape,0.627426388,0.652215127,0.720010024,0.745345745,0.792920186,1,0.444444444,0.137043437,-1
178,fluff,0.624862438,0,0.128976139,0.286070479,0.286514188,1,0.444444444,0.449859579,-1
179,field,0.622291767,0.405707444,0.516688474,0.833111702,0.590205941,0.333333333,0,0.650881243,1
180,sever,0.61971434,0.77883656,0.848039809,0.903257979,0.744139698,0.5,0.444444444,0.478580121,-1
181,lilac,0.617130122,0.463380563,0.249494129,0.569481383,0.352567144,0.833333333,0.444444444,0.280944511,-1
182,egret,0.614539076,0.658152065,0.585514982,0.745345745,0.735788175,1,0.444444444,0.227296549,-1
183,pinto,0.611941166,0.360955897,0.094698651,0.313164894,0.24599032,1,0,0.57230153,1
184,hutch,0.609336357,0.105966873,0.045761555,0.166389628,0.157065578,1,0.444444444,0.48804997,-1
185,gawky,0.60672461,0.15076831,0.49595751,0.733710106,0.463604441,1,0,0.903291938,-1
186,droll,0.604105889,0.427210138,0.068549661,0.241023936,0.202904052,1,0.444444444,0.324391851,-1
187,retro,0.601480157,0.672620235,0.19061242,0.470744681,0.286134573,0.666666667,0.444444444,0.15775157,1
188,rusty,0.598847376,0.472610257,0.403082212,0.673869681,0.531650375,0.5,0,0.652767055,-1
189,beady,0.596207508,0.477798843,0.691260616,0.748005319,0.789218943,1,0,0.799311059,1
190,smite,0.593560515,0.6549092,0.543376395,0.690159574,0.704280156,0.833333333,0,0.331922489,1
191,brink,0.590906358,0.238076232,0.174428355,0.351894947,0.393850242,0.333333333,0,0.587642383,1
192,awful,0.588244999,0.239323488,0.505862864,0.733710106,0.623706937,0.833333333,0,0.09102667,1
193,gloat,0.585576398,0.474356416,0.312143549,0.63331117,0.460757331,1,0,0.402606893,1
194,input,0.582900515,0.264817402,0.04986289,0.200132979,0.179367942,1,0,0.078605171,1
195,loser,0.580217312,0.801436839,0.278588497,0.458277926,0.490082566,0.166666667,0,0.412467558,-1
196,cacao,0.577526747,0.560816204,0.484900358,0.569481383,0.691752871,1,0.444444444,0.45025427,-1
197,blown,0.57482878,0.209539014,0.22434909,0.47606383,0.428015564,1,0,0.450325448,1
198,apron,0.57212337,0.515216524,0.277362689,0.57081117,0.45762551,0.333333333,0,0.170425451,-1
199,primo,0.569410477,0.355268409,0.168012587,0.3203125,0.37648287,1,0,0.40464187,1
200,atone,0.566690058,0.703851527,0.322357311,0.527759309,0.547594192,1,0,0.204439717,-1
201,donor,0.563962072,0.459539014,0.099207806,0.241023936,0.269336623,0.166666667,0.444444444,0.518330422,1
202,float,0.561226477,0.448014368,0.388030253,0.721077128,0.510866471,0.333333333,0,0.498936859,-1
203,goose,0.55848323,0.72924566,0.52599334,0.745511968,0.627408181,0.166666667,0.444444444,0.513905701,-1
204,piety,0.555732287,0.428108162,0.437624627,0.682845745,0.540381513,0.666666667,0,0.797148694,1
205,girth,0.552973606,0.26865895,0.159417343,0.328956117,0.36822625,1,0,0.602930957,1
206,trait,0.550207144,0.56206346,0.147906011,0.358710106,0.277308532,0.166666667,0.444444444,0.347566954,1
207,flood,0.547432855,0.328676911,0.241400421,0.463430851,0.44367467,0.166666667,0.444444444,0.559456117,1
208,gloom,0.544650697,0.331221313,0.210995619,0.375664894,0.438834583,0.5,0.444444444,0.304710357,-1
209,depth,0.541860623,0.347285971,0.490452251,0.72606383,0.526335769,0,0,0.381422171,1
210,froth,0.539062588,0.276242267,0.25948915,0.463430851,0.482869887,1,0,0.565146772,1
211,peach,0.536256548,0.460387148,0.719631716,0.72606383,0.78191136,0.166666667,0,0.448151369,-1
212,showy,0.533442457,0.336559569,0.661867128,0.845910904,0.72791117,1,0,0.597892274,-1
213,creak,0.530620267,0.554380363,0.650030614,0.768284574,0.805257663,1,0,0.366757795,-1
214,manor,0.527789932,0.513071243,0.282458551,0.577958777,0.461706368,0.833333333,0,0.503382723,1
215,atoll,0.524951405,0.560566753,0.160589453,0.358710106,0.296763785,1,0.444444444,0.122773894,1
216,bayou,0.522104639,0.36973658,0.410508859,0.635970745,0.578153175,1,0,0.405208724,-1
217,crept,0.519249585,0.445669527,0.451070608,0.682845745,0.582708551,1,0,0.41649214,1
218,tiara,0.516386195,0.696417881,0.193645963,0.358710106,0.407136756,1,0.444444444,0.330204197,-1
219,asset,0.51351442,1,0.2580172,0.470910904,0.323621524,0,0.444444444,0.121245614,1
220,vouch,0.510634212,0.109858312,0.227994034,0.533410904,0.366612888,1,0,0.585095554,-1
221,album,0.50774552,0.311614448,0.371795283,0.635970745,0.486191516,0,0,0.122029599,1
222,hinge,0.504848293,0.376521652,0.512880561,0.745345745,0.605959951,0.666666667,0,0.558056164,1
223,money,0.501942483,0.442775893,0.47323507,0.689993351,0.608996868,0,0,0.992864121,1
224,scrap,0.499028037,0.580073838,0.574970589,0.683011968,0.756572079,0.5,0,0.169981109,-1
225,gamer,0.496104904,0.558720814,0.635161502,0.745345745,0.797001044,1,0,0.608601967,-1
226,glass,0.493173033,0.753392536,0.624648099,0.745511968,0.728765303,0,0.444444444,0.567983634,-1
227,scour,0.49023237,0.527289962,0.409530609,0.681682181,0.56277878,0.5,0,0.173198268,-1
228,being,0.487282863,0.36993614,0.526389849,0.748005319,0.618487235,0,0,0.544159371,1
229,delve,0.484324458,0.529584913,0.858869082,0.903091755,0.905760653,0.5,0.444444444,0.408596343,-1
230,yield,0.481357103,0.453552185,0.399216851,0.673703457,0.499193319,0.166666667,0,0.358620575,-1
231,metal,0.478380741,0.601925763,0.480430437,0.689993351,0.640220177,0,0,0.32657335,-1
232,tipsy,0.475395319,0.428158052,0.437817121,0.683011968,0.540476416,1,0,0.585408587,-1
233,slung,0.472400782,0.394781481,0.45027215,0.745511968,0.497959571,1,0,0.300132803,-1
234,farce,0.469397072,0.534923169,0.715854743,0.833111702,0.842270096,0.666666667,0,0.672297829,1
235,gecko,0.466384135,0.351626422,0.619561077,0.768284574,0.694599981,1,0,0.421303062,-1
236,shine,0.463361913,0.626970665,0.605187006,0.726230053,0.757426212,0.5,0,0.46826625,-1
237,canny,0.460330348,0.337557374,0.32045246,0.569481383,0.399164848,1,0.444444444,0.945271695,-1
238,midst,0.457289384,0.444921173,0.410745777,0.690159574,0.508588782,0.166666667,0,0.374154467,1
239,badge,0.45423896,0.456296148,0.741005295,0.748005319,0.830122426,0.333333333,0,0.638368063,-1
240,homer,0.451179019,0.487178208,0.49670762,0.72606383,0.638891525,0.333333333,0,0.598157461,-1
241,train,0.448109501,0.544951108,0.167938489,0.415724734,0.309860492,0,0,0.320818734,-1
242,hairy,0.445030345,0.424516065,0.35776267,0.614029255,0.538957958,0.5,0,0.738701921,1
243,story,0.441941491,0.568748753,0.348269656,0.673869681,0.483913827,0,0,0.475581821,1
244,forgo,0.438842878,0.327479545,0.326788457,0.463430851,0.520546645,0.666666667,0.444444444,0.677706791,-1
245,larva,0.435734443,0.547345839,0.59070087,0.791057181,0.69070893,0.5,0.444444444,0.374178031,-1
246,trash,0.432616125,0.428557174,0.607732349,0.726230053,0.660909177,1,0,0.238774063,-1
247,zesty,0.429487859,0.493963281,0.953930708,0.946476064,0.966499004,1,0,0.563287069,-1
248,shown,0.426349584,0.380363201,0.619930843,0.845910904,0.72791117,1,0,0.306478302,1
249,heist,0.423201233,0.644083017,0.578153381,0.726230053,0.724874253,1,0,0.324974249,-1
250,askew,0.420042743,0.63011375,1,0.845910904,0.963082471,1,0,0.083315517,-1
251,inert,0.416874048,0.57857713,0.261143736,0.527759309,0.373825567,0.666666667,0,0.056066174,1
252,olive,0.413695081,0.483735781,0.565359376,0.903091755,0.607573313,0.333333333,0,0.259478717,1
253,plant,0.410505777,0.418978248,0.264569219,0.57081117,0.356363291,0,0,0.472603945,-1
254,oxide,0.407306066,0.417681102,0.68721699,0.970578457,0.733225776,0.5,0,0.232004002,-1
255,cargo,0.404095882,0.450309319,0.397016282,0.63331117,0.581095188,0.166666667,0,0.562910294,-1
256,foyer,0.400875156,0.459938136,0.578473881,0.833111702,0.69070893,0.5,0,0.664919798,-1
257,flair,0.397643818,0.457094392,0.373077012,0.721077128,0.476985859,0.5,0,0.485042706,-1
258,ample,0.394401797,0.538265815,0.597173875,0.689993351,0.761317263,0.333333333,0,0.165990231,-1
259,cheek,0.391149023,0.468369587,0.891233761,0.768284574,0.894656923,0,0.444444444,0.532224194,1
260,shame,0.387885425,0.689533027,0.781412505,0.726230053,0.850052197,0.5,0,0.379239196,1
261,mince,0.38461093,0.406505687,0.454373324,0.689993351,0.548922843,0.333333333,0,0.569884795,1
262,chunk,0.381325466,0.076182399,0.035442818,0.151595745,0.148619152,0.166666667,0,0.565340016,1
263,royal,0.378028957,0.538864498,0.250112533,0.561668883,0.412641169,0.166666667,0,0.290143205,1
264,squad,0.374721331,0.424067052,0.916332315,1,0.897124419,0.166666667,0,0.356929907,-1
265,black,0.371402511,0.263969268,0.430532311,0.65625,0.530891145,0.833333333,0,0.485958889,-1
266,stair,0.368072422,0.730093794,0.261562644,0.470910904,0.471196735,0,0,0.201057462,-1
267,scare,0.364730986,0.811714229,0.490057492,0.681682181,0.617633102,0.5,0,0.214004431,1
268,foray,0.361378127,0.426312113,0.465369005,0.721077128,0.626743855,0.5,0,0.977967702,-1
269,comma,0.358013766,0.358112153,0.416839617,0.577958777,0.554332353,1,0.444444444,0.586805775,-1
270,natal,0.354637824,0.616992616,0.284674702,0.415724734,0.483629116,1,0.444444444,0.256851982,-1
271,shawl,0.35125022,0.478597086,0.767752774,0.845910904,0.875011863,0.5,0,0.270222654,-1
